Height,HomeRegion,LanguagesSpoken,NumSiblings
175,Europe,6,1
173,Europe,3,0
191,Germany,4,3
177,South America,2,0
176,Belgium,3,1
165,Other,4,0
173,Belgium,3,3
170,Germany,6,1
165,Germany,3,1
176,South America,2,1
180,Europe,2,1
167,Europe,2,2
173,Belgium,3,4
169,Germany,3,2
160,Germany,3,1
177,South America,4,1
158,Europe,3,1
162,Germany,2,2
185,Africa,2,2
163,Germany,3,1
168,Other,2,2
170,Europe,2,2
170,Belgium,3,1
175,Germany,3,1
164,Germany,2,1
157,Asia,3,1
194,The Netherlands,2,1
177,Europe,4,2
162,Europe,1,1
164,Germany,4,5
180,Germany,3,1
178,Germany,3,1
164,The Netherlands,3,1
182,Germany,3,0
196,Europe,2,2
164,Germany,2,1
190,Asia,2,2
169,Europe,2,3
163,Europe,2,3
176,Europe,4,0
186,The Netherlands,3,3
163,Europe,3,1
182,Germany,3,1
172,Europe,2,1
154,Asia,4,1
173,Germany,3,1
172,Europe,3,1
154,Europe,2,2
167,South America,3,4
170,Europe,5,2
169,The Netherlands,4,1
160,North America,1,3
170,Germany,3,3
160,Africa,8,1
187,Germany,5,1
181,The Netherlands,3,1
176,Europe,2,1
162,Europe,4,1
177,Europe,3,1
165,Germany,3,3
169,Europe,2,1
185,Europe,4,1
163,Germany,4,1
169,Germany,3,3
165,North America,2,1
176,The Netherlands,4,1
172,Belgium,4,1
157,Asia,4,0
172,The Netherlands,4,1
170,Europe,4,3
174,Europe,5,0
177,Germany,2,2
174,Other,3,2
159,Germany,4,2
152,South America,4,1
157,Europe,3,0
170,Germany,4,1
160,Europe,3,3
186,Europe,4,3
165,Europe,2,2
160,The Netherlands,4,1
154,North America,2,5
162,Belgium,2,1
172,Europe,3,3
164,Other,3,2
178,Europe,4,1
170,Belgium,2,3
158,North America,2,0
167,Germany,2,4
175,Europe,3,3
170,South America,3,3
160,Europe,3,1
182,Germany,4,2
164,Germany,3,3
162,Europe,4,1
178,Africa,3,1
176,North America,1,3
173,Europe,4,1
166,Europe,2,1
155,Europe,2,0
168,Europe,3,2
162,Germany,4,1
163,Germany,2,2
183,The Netherlands,3,1
187,Other,3,1
186,Germany,3,1
163,Asia,3,1
187,Europe,3,2
186,Europe,4,2
172,Asia,2,1
